	10025.Healthy	10036.Healthy	10037.Healthy	10048.Healthy	10058.Healthy	10060.Healthy	10064.Gastrectomy	10080.Healthy	10100.Healthy	10105.Healthy	10106.Healthy	10107.Healthy	10112.Gastrectomy	10114.Healthy	10132.Healthy	10156.Gastrectomy	10166.Gastrectomy	10167.Gastrectomy	10176.Gastrectomy	10183.Healthy	10189.Gastrectomy	10192.Gastrectomy	10197.Healthy	10205.Gastrectomy	10207.Healthy	10208.Healthy	10215.Healthy	10219.Healthy	10226.Healthy	10231.Healthy	10234.Gastrectomy	10244.Healthy	10246.Healthy	10250.Healthy	10257.Gastrectomy	10258.Healthy	10291.Gastrectomy	10297.Gastrectomy	10302.Healthy	10304.Healthy	10317.Healthy	10319.Gastrectomy	10321.Gastrectomy	10340.Healthy	10341.Healthy	10342.Gastrectomy	10354.Healthy	10355.Gastrectomy	10357.Healthy	10360.Gastrectomy	10369.Gastrectomy	10378.Healthy	10395.Gastrectomy	10423.Gastrectomy	10433.Gastrectomy	10451.Gastrectomy	10457.Gastrectomy	10463.Healthy	10465.Healthy	10486.Healthy	10487.Healthy	10501.Gastrectomy	10519.Healthy	10537.Healthy	10538.Gastrectomy	10540.Gastrectomy	10543.Healthy	10554.Gastrectomy	10558.Gastrectomy	10563.Gastrectomy	10599.Gastrectomy	10623.Gastrectomy	10632.Healthy	10647.Healthy	10657.Healthy	10659.Healthy	10673.Gastrectomy	10680.Gastrectomy	10684.Healthy	10690.Gastrectomy	10696.Gastrectomy	10698.Healthy	10701.Healthy	10703.Gastrectomy	10733.Healthy	10741.Healthy	10742.Gastrectomy	10751.Gastrectomy	10776.Healthy	10782.Gastrectomy	10784.Healthy	10791.Gastrectomy	10794.Healthy	10807.Healthy	10810.Gastrectomy	10850.Healthy
-_2-Hydroxyoctanoate	380.3941307	35.201613672	35.201613672	487.2631148	412.365696	3202.598987	35.201613672	56.68669131	1210.109948	35.201613672	35.201613672	56.00728982	35.201613672	39.11290408	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	140.6193149	35.201613672	53.9149711	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	40.22098051	47.80213839	35.201613672	506.6857088	1116.250403	340.7103603	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	66.29675686	127.753466	1880.348593	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	267.9803783	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	85.81092324	35.201613672	35.201613672	41.53277391	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	893.2813572	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	194.4210012	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672	82.76926376	35.201613672	35.201613672	35.201613672	35.201613672	35.201613672
-_2-Hydroxypentanoate	43.010870247	43.010870247	43.010870247	43.010870247	146.1915483	473.1221531	43.010870247	1353.787931	43.010870247	43.010870247	43.010870247	448.537759	43.010870247	142.4524069	390.2881811	43.010870247	43.010870247	43.010870247	43.010870247	1499.633917	43.010870247	43.010870247	43.010870247	86.05445863	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	2108.900658	43.010870247	43.010870247	464.1633887	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	2073.115692	43.010870247	43.010870247	112.4510663	544.1856162	404.338829	43.010870247	43.010870247	43.010870247	306.4720904	453	43.010870247	43.010870247	43.010870247	43.010870247	411.8672546	152.7124379	64.23157975	159.9912518	87.61081366	151.4363822	97.50177589	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	43.010870247	778.8629371	420.3489488	43.010870247	43.010870247	47.78985583	43.010870247	43.010870247	226.7938449	43.010870247	43.010870247	147.2979584	281.9629939	43.010870247	43.010870247	544.6068222	43.010870247	378.2403465	43.010870247	241.3512992	170.0794858	43.010870247	574.1113409
-_N-Acetylvaline	24.41183504	3.6715268106	3.6715268106	4.479186019	3.6715268106	3.6715268106	40	37.81852887	28.04567469	4.421511253	3.6715268106	3.6715268106	3.6715268106	3.6715268106	3.6715268106	3.6715268106	3.6715268106	46	92	17.60649174	3.6715268106	4.079474234	63	3.6715268106	3.6715268106	43.68642931	3.6715268106	3.6715268106	3.6715268106	53.80198514	3.6715268106	25.47689824	3.6715268106	16.73940888	27.15065357	3.6715268106	150	3.6715268106	3.6715268106	29.24004726	3.6715268106	584	28.57428912	3.6715268106	12.24202363	3.6715268106	38.39150449	26.35006884	10.36874587	81	175	3.6715268106	467	30	3.6715268106	86	66	22.42216191	17.02459524	3.6715268106	3.6715268106	21.81584256	20.45430387	24.06369133	157	31	3.6715268106	36	50	65	24	3.6715268106	85.20744786	3.6715268106	21.29740319	41.10455358	157	257	3.6715268106	38	71	30.15258198	16.3708773	3.6715268106	3.6715268106	3.6715268106	3.6715268106	3.6715268106	41.53870851	3.6715268106	54.41235347	3.6715268106	4.989757195	3.6715268106	3.6715268106	15.12655432
-_N1,N8-Diacetylspermidine	34.86104555	80.68888372	13.83169386	25.6058831	40.37111949	64.69726254	10	24.07508852	32.38926488	3.53225121	67.46051815	10.68483028	0.126	25.41250163	4.274717553	19	31	6.7	29	9.870712676	3.675947639	30.2020046	9	7.348947043	17.97357415	62.81250413	15.84997628	24.27160664	9.907435163	49.27805519	71.03654022	17.7325435	12.53491605	92.92826252	165.219737	84.7758316	6.4	4.139030857	5.318136813	76.19956458	48.48601631	3.7	12.39881074	3.348294502	5.516899259	3.347404907	29.71061286	31.31176715	9.376515419	5.3	5.1	71.09131342	40	80	0.126	4.4	105	25.33838937	9.257348617	4.268891131	68.96557551	2.729143381	15.66813198	97.53002635	20	10	9.744906776	0.126	4.8	0.126	14	84	8.83971676	10.7168415	153.3103862	77.92364725	0.14	17	6.948383133	5.8	13	33.14540177	4.268936026	51	4.252271435	4.82843654	6.6	2.6	49.50586972	12	32.8700316	0.126	7.004610936	38.63339957	0.31	8.4488494
-_Ophthalmate	1.9496655387	1.9496655387	26.54094091	6.948081227	1.9496655387	52.61041522	1.9496655387	34.25404584	55.54757003	1.9496655387	1.9496655387	32.56872561	1.9496655387	1.9496655387	1.9496655387	1.9496655387	1.9496655387	1.9496655387	1.9496655387	12.05401703	2.166295043	1.9496655387	86	1.9496655387	1.9496655387	1.9496655387	1.9496655387	1.9496655387	9.66495857	1.9496655387	1.9496655387	2.979779575	10.47806401	1.9496655387	1.9496655387	1.9496655387	1.9496655387	1.9496655387	1.9496655387	51.34524994	1.9496655387	1.9496655387	42.73840738	51.57600356	1.9496655387	1.9496655387	35.73762887	1.9496655387	1.9496655387	1.9496655387	1.9496655387	15.58828648	50	696	1.9496655387	1.9496655387	1.9496655387	68.43880867	1.9496655387	1.9496655387	1.9496655387	1.9496655387	1.9496655387	79.88958404	1.9496655387	13	5.2629543	1.9496655387	1.9496655387	1.9496655387	18	1.9496655387	1.9496655387	24.80245064	1.9496655387	14.6007727	1.9496655387	1.9496655387	1.9496655387	1.9496655387	1.9496655387	7.943687914	3.557204011	1.9496655387	1.9496655387	70.45951971	10	1.9496655387	1.9496655387	1.9496655387	289.3217305	1.9496655387	4.889060538	10.78634007	1.9496655387	93.08235809
-_SDMA	34.83186131	20.67560963	30.6026896	39.49699545	30.04292654	36.98484525	26	21.43213665	30.7992799	3.041098775	14.11749733	13.5119097	2.2967372745	26.31533068	4.307045989	13	11	2.2967372745	2.2967372745	22.91743526	2.2967372745	2.2967372745	787	2.2967372745	22.23961217	14.97563217	18.79348663	25.48099733	7.584125059	14.72548669	25.74492792	7.440366702	19.80416346	129.8721125	2.2967372745	28.03492058	13	2.2967372745	2.2967372745	20.70390994	2.2967372745	30	18.97373287	14.75547578	31.61074935	2.551930305	145.0620842	29.00906285	2.2967372745	2.2967372745	2.2967372745	18.60107414	2.2967372745	28	2.2967372745	2.2967372745	28	109.1646468	5.536090814	2.2967372745	2.2967372745	2.2967372745	2.2967372745	36.34774017	2.2967372745	19	12.52344196	2.2967372745	23	2.2967372745	78	20	2.2967372745	27.98852211	39.83347259	21.99363389	2.2967372745	2.2967372745	2.2967372745	2.2967372745	2.2967372745	20.33729435	5.234838719	2.2967372745	10.55992649	18.72220226	2.2967372745	2.2967372745	21.68647024	35	20.3453298	2.2967372745	47.31368642	15.92014014	32	16.53367384
C00003_NAD+	794.8929395	351.0698711	1204.83242	475.8053535	365.9533909	320.2428822	59.991097923	90.98245608	517.0860993	379.5622074	306.0859507	166.2281819	59.991097923	472.9881099	59.991097923	59.991097923	59.991097923	59.991097923	59.991097923	340.6694706	202.8274264	676.0575026	59.991097923	66.65677547	488.6720592	482.156976	531.593324	59.991097923	745.410904	59.991097923	59.991097923	505.8953035	449.657462	76.98564256	322.8282614	377.1580031	59.991097923	59.991097923	499.5137623	59.991097923	59.991097923	59.991097923	161.5001202	292.5095389	59.991097923	694.8649319	59.991097923	525.3371742	59.991097923	59.991097923	59.991097923	447.5793102	59.991097923	59.991097923	59.991097923	59.991097923	59.991097923	367.1213946	510.9808095	478.8621832	59.991097923	277.1065971	552.1010507	280.6012541	59.991097923	59.991097923	473.6051387	59.991097923	59.991097923	59.991097923	59.991097923	804	264.7703757	507.0240649	658.2344023	418.2902413	59.991097923	59.991097923	402.789023	59.991097923	59.991097923	617.1910671	364.0050458	409	448.797404	70.21709149	59.991097923	59.991097923	75.51805529	617	386.5660079	552	293.6477934	146.5151492	695	149.4946721
C00008_ADP	40.38380148	17.450344854	152.1871879	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	34.58782359	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	24.43878868	17.450344854	38.48626198	17.450344854	17.450344854	17.450344854	85.95186186	17.450344854	125.5091613	27.62593354	50.95997381	17.450344854	24.53459024	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	75.43955863	17.450344854	112.5540643	38.8611845	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	29.06107837	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	77.46879411	19.38927206	17.450344854	17.450344854	17.450344854	25.54253262	30.91493221	17.450344854	17.450344854	25.66611648	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	30.08984398	40.75764579	57.67803061	49.23107372	17.450344854	17.450344854	17.450344854	17.450344854	17.450344854	34.08901448	44.46210872	17.450344854	56.0936259	26.94818328	17.450344854	17.450344854	17.450344854	17.450344854	109.2676096	17.450344854	22.34060686	36.47811843	17.450344854	26.04086857
C00019_SAM+	84.62984126	28.23351378	56.43292262	28.99595752	30.07807729	34.12034273	3.5576406657	7.106866424	54.97568269	15.20388809	25.38938451	11.71896642	3.5576406657	52.25462111	5.424222355	3.5576406657	3.5576406657	3.5576406657	3.5576406657	24.60600772	12.75413744	87.98517579	3.5576406657	5.730376589	49.36713738	55.17040582	11.82994544	27.15245813	54.53603878	99.2173391	31.63714343	75.79416686	59.35029518	52.63525453	32.21787354	62.00268608	10	9.376807704	53.93439681	55.42053132	124.099251	3.5576406657	12.09201496	41.45296742	41.7079587	47.52011496	25.76614726	85.31438837	20.80100425	3.5576406657	3.5576406657	90.13430897	3.5576406657	3.5576406657	3.5576406657	3.5576406657	3.5576406657	40.22849354	28.55127701	41.53502892	12.56723162	23.87648152	48.04718735	62.36821147	3.5576406657	3.5576406657	36.34112068	7.4	3.5576406657	3.5576406657	3.5576406657	51	18.03340793	50.38993667	37.90475553	31.53981489	8.1	3.5576406657	32.49291914	3.5576406657	3.5576406657	47.19171432	33.65778818	27	26.64091674	13.84731942	9.9	3.5576406657	14.88837919	3.5576406657	177.2281299	15	29.35523306	3.952934073	22	17.08423663
C00020_AMP	91.70595068	81.81852668	191.6854977	105.0012555	42.82194269	20.411173179	20.411173179	20.411173179	20.411173179	91.79526873	80.23038293	20.411173179	20.411173179	74.53831486	20.411173179	20.411173179	20.411173179	20.411173179	20.411173179	38.53598005	52.06500294	152.3575102	20.411173179	23.39955524	117.7180027	132.7941239	181.0045878	105.9904229	99.22920303	127.1761791	64.87799382	70.48569171	20.411173179	127.2209084	58.10432779	22.67908131	20.411173179	35.74441378	109.2401047	42.18298628	147.7850914	20.411173179	600.2689257	122.5012522	85.07654839	64.22660063	119.0719846	138.4778385	99.48475343	20.411173179	20.411173179	111.9372211	20.411173179	20.411173179	20.411173179	20.411173179	20.411173179	131.5392396	66.02803116	36.80169653	20.411173179	41.63945404	78.52116847	57.76186062	20.411173179	20.411173179	76.37864644	20.411173179	20.411173179	20.411173179	20.411173179	354	111.5603089	79.53916179	117.6694229	139.8039609	20.411173179	20.411173179	119.4757898	20.411173179	20.411173179	164.7562739	74.81750599	20.411173179	165.6304641	20.411173179	20.411173179	20.411173179	124.824881	194	72.60386412	86	78.94078513	60.06935743	150	77.36186455
